Num,Disease,PatinentsNumber,TotalObservation,AvgDailyDeath,DeathToll,TotalPatients,AvgDailyPatients,PatientsAboveSixty,PatientsUnderSixty,MalePatients,FemalePatients,Year,Days,Months,DailyMinTemp,DailyAvgTemp,DailyMaxTemp,City,Country,LAT,LON,Literature,Page,Journal,
1,heat disease,null,"43,042",null,"43,042",null,null,"43,042",0,null,null,1988–2009,null,11-3,null,null,38.7,Adelaide,Australian,-34.9281805,138.5999312,Heatwave and elderly mortality: An evaluation of death burden and health costs considering short-term mortality displacement, 115 (2018) 334–342,Environment International,
2,Respiratory,null,null,5.5,null,null,null,null,null,null,null,1996–2002,null,null,null,24.3,null,Athens,Greece,37.9839412,23.7283052,Changes in the Effect of Heat on Mortality in the Last 24 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
3,Respiratory,null,null,7.8,null,null,null,null,null,null,null,2004–2010,null,null,null,24.3,null,Athens,Greece,37.9939412,23.7283052,Changes in the Effect of Heat on Mortality in the Last 25 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
4,Cardiovascular,null,null,36.1,null,null,null,null,null,null,null,1996–2002,null,null,null,24.3,null,Athens,Greece,37.9839412,23.7383052,Changes in the Effect of Heat on Mortality in the Last 42 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
5,Cardiovascular,null,null,34.8,null,null,null,null,null,null,null,2004–2010,null,null,null,24.3,null,Athens,Greece,37.9939412,23.7383052,Changes in the Effect of Heat on Mortality in the Last 43 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
6,heat disease,null,3188305,null,1150,null,null,null,null,null,null,1992–1996,null,null,null,null,27.6 ,Athens,Greece,37.9739412,23.7283052,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
7,cardiovascular disease,null,"3,188,305",32.6,null,null,null,null,null,null,null, 1992–1996,914,4-9,null,null,41.6,Athens,Greece,37.9839412,23.7183052,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
8,respiratory disease,null,"3,188,305",4.2,null,null,null,null,null,null,null, 1992–1996,914,4-9,null,null,41.6,Athens,Greece,37.9739412,23.7183052,Heat effects on mortality in 15 European cities, 2008;19: 711–719,Epidemiology,
9,All renal disease,"140,678",null,null,null,null,46,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7489924,-84.3902644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2012",125(5): 057009.,Environmental Health Perspectives,
10,Nephritis and nephrotic syndrome,"22,412",null,null,null,null,7,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7599924,-84.3902644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2013",125(5): 057009.,Environmental Health Perspectives,
11,Acute renal failure,"19,274",null,null,null,null,6,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7489924,-84.4002644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2014",125(5): 057009.,Environmental Health Perspectives,
12,All circulatory system disease,"1,905,253",null,null,null,null,622,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7589924,-84.4002644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2015",125(5): 057009.,Environmental Health Perspectives,
13,Hypertension,"1,501,108",null,null,null,null,490,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7389924,-84.3902644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2016",125(5): 057009.,Environmental Health Perspectives,
14,Ischemic heart disease,"367,013",null,null,null,null,120,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7489924,-84.3802644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2017",125(5): 057009.,Environmental Health Perspectives,
15,Dysrhythmia,"285,998",null,null,null,null,93,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7389924,-84.3802644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2018",125(5): 057009.,Environmental Health Perspectives,
16,Congestive heart failure,"227,586",null,null,null,null,74,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7689924,-84.3902644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2019",125(5): 057009.,Environmental Health Perspectives,
17,Ischemic stroke,"71,302",null,null,null,null,23,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7489924,-84.4102644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2020",125(5): 057009.,Environmental Health Perspectives,
18,All respiratory system disease,"900,570",null,null,null,null,294,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7689924,-84.4102644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2021",125(5): 057009.,Environmental Health Perspectives,
19,Pneumonia,"90,587",null,null,null,null,29,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7689924,-84.4002644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2022",125(5): 057009.,Environmental Health Perspectives,
20,Chronic obstructive pulmonary disease,"224,127",null,null,null,null,73,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7289924,-84.3902644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2023",125(5): 057009.,Environmental Health Perspectives,
21,Asthma/wheeze,"177,020",null,null,null,null,58,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7489924,-84.3702644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2024",125(5): 057009.,Environmental Health Perspectives,
22,Diabetes mellitus,"70,076",null,null,null,null,22,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7289924,-84.3702644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2025",125(5): 057009.,Environmental Health Perspectives,
23,Intestinal infection,"30,610",null,null,null,null,10,null,null,null,null,1993-2012,null,5~9,null,28.9,null,Atlanta,USA,33.7289924,-84.3802644,"Time-series Analysis of Heat Waves and Emergency Department Visits in Atlanta, 1993 to 2026",125(5): 057009.,Environmental Health Perspectives,
24,Cardio-respiratory disease,null,"1,643,545",21.23,null,null,null,null,null,null,null, 1990-1996,"1,826",null,null,16.49,null,Barcelona,Spain,41.3828939,2.1774322,"Relation between Temperature and Mortality in Thirteen 
Spanish Cities","2010, 7, 3196-3210",International Journal of Environmental Research and Public Health,
25,Respiratory,null,null,3.3,null,null,null,null,null,null,null,1997–2002,null,null,null,20.4,null,Barcelona,Spain,41.28913268,2.225943779,Changes in the Effect of Heat on Mortality in the Last 22 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
26,Respiratory,null,null,3.5,null,null,null,null,null,null,null,2004–2009,null,null,null,21.8,null,Barcelona,Spain,41.41755979,2.263992404,Changes in the Effect of Heat on Mortality in the Last 23 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
27,Cardiovascular,null,null,12.5,null,null,null,null,null,null,null,1997–2002,null,null,null,20.4,null,Barcelona,Spain,41.45470076,2.143492147,Changes in the Effect of Heat on Mortality in the Last 40 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
28,Cardiovascular,null,null,10.7,null,null,null,null,null,null,null,2004–2009,null,null,null,21.8,null,Barcelona,Spain,41.40400349,2.139662348,Changes in the Effect of Heat on Mortality in the Last 41 Years in Nine European Cities. Results from the PHASE Project,12(12):15567–15583,International Journal of Environmental Research and Public Health,
29,Respiratory,null,null,19,null,null,null,null,null,null,null,2003-2013,null,5~10,null,null,37.5,Barcelona,Spain,41.3250106,2.097883949,"The effects of hot nights on mortality in Barcelona, Spain",61(12):2127-2140,Int J Biometeorol,
30,Cardiovascular,null,null,35,null,null,null,null,null,null,null,2003-2013,null,5~10,null,null,37.5,Barcelona,Spain,41.4215048,2.243586747,null,null,null,
31,heat disease,null,1512971,null,2619,null,null,null,null,null,null,1992–2000,null,null,null,null,23.3 ,Barcelona,Spain,41.36472788,2.190659422,Impact of Summer Heat on Urban Population Mortality in Europe during the 1990s: An Evaluation of Years of Life Lost Adjusted for Harvesting,2013. 8(7).,Plos One,
32,cardiovascular disease,null,"1,512,971",13,null,null,null,null,null,null,null, 1992–2000,1182,4-9,null,null,36.9,Barcelona,Spain,41.44917148,2.168991658,Heat effects on mortality in 15 European cities,2008;19: 711–719,Epidemiology,
33,respiratory disease,null,"1,512,971",3.1,null,null,null,null,null,null,null, 1992–2000,1182,4-9,null,null,36.9,Barcelona,Spain,41.3459075,2.23578326,Heat effects on mortality in 15 European cities,2008;19: 711–719,Epidemiology,
34,mortality,null,null,214,null,null,null,null,null,null,null,2008-2013,null,null,null,13.1,null,Beijing,China,40.190632,116.412144,The years of life lost on cardiovascular disease attributable to ambient temperature in China,7: 13531,Scientific Reports,
35,CVD,null,null,87,null,null,null,70,null,null,null,2007-2009,null,null,-9.4,13.6,31.4,Beijing,China,40.18072393,116.4012762,Effects of Extreme Temperatures on Cause-Specific Cardiovascular Mortality in China,12(12):16136-16156,International Journal of Environmental Research and Public Health,
36,CBD,null,null,40,null,null,null,32,null,null,null,2007-2009,null,null,-9.4,13.6,31.4,Beijing,China,40.24845574,116.3508314,Effects of Extreme Temperatures on Cause-Specific Cardiovascular Mortality in China,12(12):16136-16156,International Journal of Environmental Research and Public Health,
37,IHD,null,null,38,null,null,null,31,null,null,null,2007-2009,null,null,-9.4,13.6,31.4,Beijing,China,40.12322502,116.4561845,Effects of Extreme Temperatures on Cause-Specific Cardiovascular Mortality in China,12(12):16136-16156,International Journal of Environmental Research and Public Health,
38,HPD,null,null,2,null,null,null,2,null,null,null,2007-2009,null,null,-9.4,13.6,31.4,Beijing,China,40.12901692,116.4003739,Effects of Extreme Temperatures on Cause-Specific Cardiovascular Mortality in China,12(12):16136-16156,International Journal of Environmental Research and Public Health,
